Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,0.414933,0.483530,0.411058,0.451077,0.451077,3221004
2022-06-22,0.451077,0.457470,0.414229,0.429331,0.429331,1674831
2022-06-23,0.429331,0.465795,0.428259,0.465795,0.465795,2219581
2022-06-24,0.465795,0.533582,0.461158,0.527662,0.527662,2253738
2022-06-25,0.527661,0.559182,0.503676,0.533633,0.533633,2896112
2022-06-26,0.533638,0.538257,0.504309,0.505949,0.505949,1594319
2022-06-27,0.505949,0.526391,0.484047,0.489905,0.489905,1973663
2022-06-28,0.489905,0.498206,0.453977,0.469602,0.469602,1705502
2022-06-29,0.469603,0.479089,0.449586,0.467520,0.467520,1070116
2022-06-30,0.467520,0.469415,0.429981,0.462484,0.462484,1290067
2022-07-01,0.462483,0.475109,0.430788,0.437930,0.437930,1941916
2022-07-02,0.437927,0.454564,0.431073,0.452602,0.452602,1046831
2022-07-03,0.452602,0.454048,0.421703,0.449497,0.449497,1527579
2022-07-04,0.449497,0.469505,0.429166,0.468867,0.468867,3617504
2022-07-05,0.468867,0.490616,0.444647,0.471181,0.471181,6079873
2022-07-06,0.471181,0.521759,0.452531,0.514956,0.514956,6115833
2022-07-07,0.514956,0.519013,0.480218,0.509477,0.509477,2671154
2022-07-08,0.509477,0.518231,0.476139,0.491902,0.491902,1857488
2022-07-09,0.491902,0.503665,0.481808,0.494341,0.494341,906582
2022-07-10,0.494342,0.495679,0.465409,0.480784,0.480784,1084289
2022-07-11,0.480784,0.481585,0.451722,0.455862,0.455862,3958907
2022-07-12,0.455863,0.462465,0.443901,0.445852,0.445852,6654790
2022-07-13,0.445852,0.471454,0.428707,0.469711,0.469711,8877120
2022-07-14,0.469711,0.506636,0.457465,0.500524,0.500524,9753728
2022-07-15,0.500524,0.502083,0.470908,0.481052,0.481052,9297002
2022-07-16,0.481052,0.512048,0.468690,0.499823,0.499823,7806611
2022-07-17,0.499823,0.509616,0.490356,0.499581,0.499581,3717875
2022-07-18,0.499581,0.544736,0.495498,0.539672,0.539672,4947928
2022-07-19,0.539667,0.568142,0.505678,0.551882,0.551882,6439477
2022-07-20,0.551881,0.556397,0.487674,0.496322,0.496322,8653138
2022-07-21,0.496322,0.506008,0.476052,0.479937,0.479937,9656278
2022-07-22,0.479937,0.496743,0.470680,0.472813,0.472813,6818815
2022-07-23,0.472813,0.512551,0.472213,0.491255,0.491255,2377831
